rx_wall_time,timestamp_ms,priority,src,src_name,dst,dst_name,cls,cls_name,opcode,opcode_name,p2,p3,p4,p5,p6,p7,can_id_hex
1777171483.084,433982,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171483.595,434478,2,5,MOTOR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,0,0,0,0,0,0,0x08017FC0
1777171483.595,434478,2,5,MOTOR,255,BROADCAST,10,HEALTH,48,HEARTBEAT,0,0,1,0,0,0,0x08017FCA
1777171483.595,434480,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171484.060,434973,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171484.555,435468,2,5,MOTOR,255,BROADCAST,10,HEALTH,48,HEARTBEAT,0,0,1,0,0,0,0x08017FCA
1777171484.556,435469,2,5,MOTOR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,0,1,0,0,0,0,0x08017FC0
1777171484.556,435471,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171485.051,435964,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171485.546,436459,2,5,MOTOR,255,BROADCAST,10,HEALTH,48,HEARTBEAT,0,0,1,0,0,0,0x08017FCA
1777171485.547,436460,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171485.548,436461,2,5,MOTOR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,0,2,0,0,0,0,0x08017FC0
1777171486.053,436954,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171486.561,437449,2,5,MOTOR,255,BROADCAST,10,HEALTH,48,HEARTBEAT,0,0,1,0,0,0,0x08017FCA
1777171486.561,437450,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171486.561,437452,2,5,MOTOR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,0,3,0,0,0,0,0x08017FC0
1777171487.031,437945,2,5,MOTOR,255,BROADCAST,4,TELEMETRY,80,0x50,1,0,0,0,0,0,0x08017FC4
1777171487.528,438441,2,5,MOTOR,255,BROADCAST,10,HEALTH,48,HEARTBEAT,0,0,1,0,0,0,0x08017FCA
